idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%)
90,Macerated Natural,drip (alternative brewing methods),light,beans,Peru,46.67,100
91,Natural,drip (alternative brewing methods),light,beans,Peru,44.67,100
92,Washed,drip (alternative brewing methods),light,beans,Rwanda,39.33,100
93,Natural,drip (alternative brewing methods),light,beans,Brazylia,27.2,100
94,Washed,drip (alternative brewing methods),light,beans,Etiopia,40.8,100
95,Washed,drip (alternative brewing methods),light,beans,Gwatemala,42.4,100
96,Washed,drip (alternative brewing methods),light,beans,Kenia,53.6,100
97,Washed,drip (alternative brewing methods),light,beans,Kolumbia,40.0,100
98,Natural,drip (alternative brewing methods),light,beans,Rwanda,44.0,100
99,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.0,100
100,Yellow Bourbon,drip (alternative brewing methods),light,beans,Brazylia,46.4,100
101,Natural,drip (alternative brewing methods),light,beans,Salwador,56.0,100
102,Red Honey,drip (alternative brewing methods),light,beans,Brazil and others,31.8,100
103,Washed,drip (alternative brewing methods),light,beans,Kenia,51.2,100
104,Natural,drip (alternative brewing methods),light,beans,Brazylia,39.2,100
105,Washed,drip (alternative brewing methods),light,beans,Kolumbia,46.4,100
106,Washed,drip (alternative brewing methods),light,beans,Brazylia,38.4,100
107,Natural,drip (alternative brewing methods),light,beans,Rwanda,40.0,100
108,Natural,drip (alternative brewing methods),light,beans,Rwanda,40.0,100
109,Fermentation,drip (alternative brewing methods),light,beans,Brazylia,44.0,100
110,Yeast Process,drip (alternative brewing methods),light,beans,Salwador,47.2,100
111,Washed,drip (alternative brewing methods),light,beans,Etiopia,48.0,100
112,Natural,drip (alternative brewing methods),light,beans,Etiopia,51.2,100
113,Yellow Honey,drip (alternative brewing methods),light,beans,Etiopia,51.2,100
114,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,51.2,100
115,Washed,drip (alternative brewing methods),light,beans,Honduras,54.4,100
116,Carbonic Maceration,drip (alternative brewing methods),light,beans,Kolumbia,54.4,100
117,Yellow Honey,drip (alternative brewing methods),light,beans,Kostaryka,54.4,100
118,Honey,drip (alternative brewing methods),light,beans,Kostaryka,56.0,100
119,Natural,drip (alternative brewing methods),light,beans,Meksyk,48.0,100
120,Washed,drip (alternative brewing methods),light,beans,Peru,48.0,100
121,Red Honey,drip (alternative brewing methods),light,beans,Peru,40.0,100
122,Red Honey,drip (alternative brewing methods),light,beans,Brazil and others,21.0,100
123,Red Honey,drip (alternative brewing methods),light,beans,Brazil and others,23.2,100
124,Washed,drip (alternative brewing methods),light,beans,Etiopia,29.0,100
125,Washed,drip (alternative brewing methods),light,beans,Etiopia,32.0,100
126,Washed,drip (alternative brewing methods),light,beans,Etiopia,30.8,100
127,Pulped natural,drip (alternative brewing methods),light,beans,Rwanda,30.0,100
128,Pulped natural,drip (alternative brewing methods),light,beans,Rwanda,32.8,100
129,Pulped natural,drip (alternative brewing methods),light,beans,Rwanda,31.6,100
130,Red Honey,drip (alternative brewing methods),light,ground,Indonezja,20.0,100
131,Yellow Honey,drip (alternative brewing methods),light,beans,Kostaryka,38.08,100
132,Washed,drip (alternative brewing methods),light,beans,Gwatemala,41.6,100
133,Washed,drip (alternative brewing methods),light,beans,Honduras,33.6,100
134,Honey,drip (alternative brewing methods),light,beans,Meksyk,33.6,100
135,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,63.2,100
136,Washed,drip (alternative brewing methods),light,beans,Etiopia,62.4,100
137,Natural,drip (alternative brewing methods),light,beans,Etiopia,60.0,100
138,Washed,drip (alternative brewing methods),light,beans,Burundi,44.0,100
139,Washed,drip (alternative brewing methods),light,beans,Gwatemala,23.2,100
140,Washed,drip (alternative brewing methods),light,beans,Etiopia,39.2,100
141,Washed,drip (alternative brewing methods),light,beans,Kenia,44.0,100
142,Natural,drip (alternative brewing methods),light,beans,Kostaryka,44.0,100
143,Honey,drip (alternative brewing methods),light,beans,Kostaryka,79.0,100
144,Natural,drip (alternative brewing methods),light,beans,Nikaragua,44.0,100
145,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,55.2,100
146,Natural,drip (alternative brewing methods),light,beans,Uganda,44.0,100
147,Natural,drip (alternative brewing methods),light,beans,Uganda,32.12,100
148,Natural,drip (alternative brewing methods),light,beans,Brazylia,45.6,100
149,Washed,drip (alternative brewing methods),light,beans,Burundi,44.0,100
150,Natural,drip (alternative brewing methods),light,beans,Burundi,48.0,100
151,Washed,drip (alternative brewing methods),light,beans,Etiopia,44.8,100
152,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100
153,Natural,drip (alternative brewing methods),light,beans,Kolumbia,60.0,100
154,Natural,drip (alternative brewing methods),light,beans,Salwador,40.0,100
155,Washed,drip (alternative brewing methods),light,beans,Gwatemala,40.0,100
156,Washed,drip (alternative brewing methods),light,beans,Honduras,42.4,100
157,Washed,drip (alternative brewing methods),light,beans,Kenia,53.6,100
158,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.4,100
159,Natural,drip (alternative brewing methods),light,beans,Brazylia,45.0,100
160,Washed,drip (alternative brewing methods),light,beans,Kolumbia,47.0,100
161,Washed,drip (alternative brewing methods),light,beans,Etiopia,38.0,100
162,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,78.4,100
163,Aged,drip (alternative brewing methods),light,beans,Kolumbia,69.3,100
164,Macerated Natural,drip (alternative brewing methods),light,beans,Honduras,52.8,100
165,Macerated Natural,drip (alternative brewing methods),light,beans,Honduras,52.8,100
166,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,88.0,100
167,Washed,drip (alternative brewing methods),light,beans,Boliwia,58.4,100
168,Natural,drip (alternative brewing methods),light,beans,Panama,75.0,100
169,Washed,drip (alternative brewing methods),light,beans,Kolumbia,89.0,100
170,Washed,drip (alternative brewing methods),light,beans,Kolumbia,82.0,100
171,Experimental,drip (alternative brewing methods),light,beans,Brazylia,73.0,100
172,Natural,drip (alternative brewing methods),light,beans,Burundi,48.0,100
173,Washed,drip (alternative brewing methods),light,beans,Kolumbia,46.4,100
174,Yeast Process,drip (alternative brewing methods),light,beans,Salwador,52.0,100
175,Natural,drip (alternative brewing methods),light,beans,Rwanda,48.0,100
176,Pulped natural,drip (alternative brewing methods),medium,beans,Brazylia,26.4,100
177,Washed,drip (alternative brewing methods),light,beans,Kostaryka,47.2,100
178,Natural,drip (alternative brewing methods),light,beans,Etiopia,39.2,100
179,Washed,drip (alternative brewing methods),light,beans,Peru,40.0,100
180,Washed,drip (alternative brewing methods),light,beans,Etiopia,47.2,100
181,Washed,drip (alternative brewing methods),light,beans,Etiopia,33.04,100
182,Natural,drip (alternative brewing methods),light,beans,Indonezja,54.4,100
183,Washed,drip (alternative brewing methods),light,beans,Etiopia,47.2,100
184,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,46.4,100
185,Hybrid,drip (alternative brewing methods),light,beans,Kolumbia,48.0,100
186,Natural,drip (alternative brewing methods),light,beans,Rwanda,46.4,100
187,Washed,drip (alternative brewing methods),light,beans,Etiopia,36.0,100
188,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100
189,Washed,drip (alternative brewing methods),light,beans,Honduras,32.8,100
190,Washed,drip (alternative brewing methods),light,beans,Kenia,39.2,100
191,Honey,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100
192,Natural,drip (alternative brewing methods),light,beans,Nikaragua,36.0,100
193,Washed,drip (alternative brewing methods),light,beans,Kolumbia,54.4,100
194,Washed,drip (alternative brewing methods),light,beans,Etiopia,33.6,100
195,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44.0,100
196,Natural,drip (alternative brewing methods),light,beans,Brazylia,26.4,100
197,Aged,drip (alternative brewing methods),light,beans,Kolumbia,51.2,100
198,Washed,drip (alternative brewing methods),medium,beans,Salwador,33.6,100
199,Natural,drip (alternative brewing methods),medium,beans,Sumatra,31.6,100
200,Washed,drip (alternative brewing methods),light,beans,Gwatemala,33.6,100
201,Washed,drip (alternative brewing methods),light,beans,Kenia,39.0,100
202,Washed,drip (alternative brewing methods),light,beans,Rwanda,40.0,100
203,Natural,drip (alternative brewing methods),light,beans,Rwanda,47.2,100
204,Red Honey,drip (alternative brewing methods),light,ground,Etiopia,120.0,100
205,Red Honey,drip (alternative brewing methods),light,ground,Etiopia,102.86,100
206,Red Honey,drip (alternative brewing methods),light,ground,Etiopia,120.0,100
207,Red Honey,drip (alternative brewing methods),light,ground,Etiopia,102.86,100
208,Red Honey,drip (alternative brewing methods),light,ground,Kolumbia,120.0,100
209,Red Honey,drip (alternative brewing methods),light,ground,Kolumbia,102.86,100
210,Red Honey,drip (alternative brewing methods),light,ground,Kolumbia,82.29,100
211,Natural,drip (alternative brewing methods),light,beans,Brazylia,52.38,100
212,Washed,drip (alternative brewing methods),light,beans,Burundi,52.0,100
213,Washed,drip (alternative brewing methods),light,beans,Gwatemala,49.6,100
214,Honey,drip (alternative brewing methods),light,beans,Nikaragua,52.8,100
215,Natural,drip (alternative brewing methods),light,ground,Etiopia,130.91,100
216,Washed,drip (alternative brewing methods),light,beans,Kenia,60.0,100
217,Natural,drip (alternative brewing methods),light,beans,Nikaragua,60.0,100
218,Natural,drip (alternative brewing methods),light,beans,Panama,115.2,100
