idx,price(GBP),weight,process,destination,roast,blend,arabica_robusta,origin,weight(g),price_per_kg
66,10.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Chiny,250,43.2
67,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,40
68,10,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,40
69,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,40
70,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,250,40
71,10.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,43.2
72,10.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Mjanma,250,43.2
73,7,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,28
74,8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,32
75,11,250 g,Red Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,44
76,10.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,40.8
77,14,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,56
78,6,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,24
79,6,250 g,Pulped natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,24
80,8.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,33.6
81,8.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,250,35.2
82,6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,24
83,14.4,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,57.6
84,7.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,31.2
85,8.4,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,33.6
86,8.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,250,34.4
87,8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,32
88,13,300 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,300,43.33
89,10.4,300 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,300,34.67
90,14,300 g,Macerated Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,300,46.67
91,13.4,300 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,300,44.67
92,11.8,300 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,300,39.33
93,6.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,27.2
