idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew,Washed,Natural,Fermented/macerated (traditional),Fermented/macerated (closed tank),process_general,region of origin
39,Monsooning,drip (alternative brewing methods),light,beans,Laos,26.4,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,FALSE,Monsooning,Asia
40,Washed,drip (alternative brewing methods),light,beans,Rwanda,38.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
41,Macerated Natural,drip (alternative brewing methods),light,ground,Brazylia,81.82,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,TRUE,FALSE,Fermented,Latam
42,Macerated Natural,drip (alternative brewing methods),light,ground,Brazylia,71.59,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,TRUE,FALSE,Fermented,Latam
43,Washed,drip (alternative brewing methods),light,ground,Etiopia,90.91,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
44,Washed,drip (alternative brewing methods),light,ground,Etiopia,79.55,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
45,Semi-washed,drip (alternative brewing methods),light,ground,Honduras,81.82,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Latam
46,Semi-washed,drip (alternative brewing methods),light,ground,Honduras,71.59,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Latam
47,Washed,drip (alternative brewing methods),light,ground,Kenia,100,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
48,Washed,drip (alternative brewing methods),light,ground,Kenia,87.5,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
49,Semi-washed,drip (alternative brewing methods),light,ground,Kolumbia,79.55,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Latam
50,Semi-washed,drip (alternative brewing methods),light,ground,"Honduras, Kolumbia, Peru",73.86,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Latam
51,Natural,drip (alternative brewing methods),light,beans,Kolumbia,41.6,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
52,Washed,drip (alternative brewing methods),light,beans,Kolumbia,29.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
53,Macerated Natural,drip (alternative brewing methods),light,beans,Peru,44,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,TRUE,FALSE,Fermented,Latam
54,Pulped natural,drip (alternative brewing methods),light,beans,Kolumbia,45,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,FALSE,FALSE,Hybrid,Latam
55,Washed,drip (alternative brewing methods),light,beans,Kolumbia,48,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
56,Natural,drip (alternative brewing methods),light,beans,Indonezja,45,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Asia
57,Washed,drip (alternative brewing methods),light,beans,Peru,42,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
58,Washed,drip (alternative brewing methods),light,beans,Rwanda,45,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
60,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
61,Honey,drip (alternative brewing methods),light,beans,Etiopia,47.2,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Africa
62,Washed,drip (alternative brewing methods),light,beans,Etiopia,42.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
63,Natural,drip (alternative brewing methods),light,beans,Kolumbia,44,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
64,Washed,drip (alternative brewing methods),light,beans,Kolumbia,44,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
65,Natural,drip (alternative brewing methods),light,beans,Brazylia,21.6,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
66,Washed,drip (alternative brewing methods),light,beans,Chiny,43.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Asia
67,Washed,drip (alternative brewing methods),light,beans,Etiopia,40,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
68,Natural,drip (alternative brewing methods),light,beans,Etiopia,40,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
69,Washed,drip (alternative brewing methods),light,beans,Gwatemala,40,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
70,Washed,drip (alternative brewing methods),light,beans,Indonezja,40,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Asia
71,Washed,drip (alternative brewing methods),light,beans,Kenia,43.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
72,Washed,drip (alternative brewing methods),light,beans,Mjanma,43.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Asia
73,Washed,drip (alternative brewing methods),light,beans,Gwatemala,28,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
74,Washed,drip (alternative brewing methods),light,beans,Kolumbia,32,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
75,Honey,drip (alternative brewing methods),light,beans,Kostaryka,44,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
76,Washed,drip (alternative brewing methods),light,beans,Rwanda,40.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
77,Natural,drip (alternative brewing methods),light,beans,Rwanda,56,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
78,Honey,drip (alternative brewing methods),light,beans,Brazylia,24,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
