,process,brewing_method,roast,grind,origin,price_per_kg,percentage_of_arabica,pure_arabica,roast_brew,Washed,Natural,Fermented_traditional,Fermented_closedtank,process_general,region_of_origin
51,Macerated Natural,drip (alternative brewing methods),light,beans,Peru,44.0,100,True,light_drip (alternative brewing methods),False,True,True,False,Fermented,Latam
52,Pulped natural,drip (alternative brewing methods),light,beans,Kolumbia,45.0,100,True,light_drip (alternative brewing methods),True,True,False,False,Hybrid,Latam
53,Washed,drip (alternative brewing methods),light,beans,Kolumbia,48.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
54,Natural,drip (alternative brewing methods),light,beans,Indonezja,45.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Asia
55,Washed,drip (alternative brewing methods),light,beans,Peru,42.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
56,Washed,drip (alternative brewing methods),light,beans,Rwanda,45.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
57,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
58,Honey,drip (alternative brewing methods),light,beans,Etiopia,47.2,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Africa
59,Washed,drip (alternative brewing methods),light,beans,Etiopia,42.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
60,Natural,drip (alternative brewing methods),light,beans,Kolumbia,44.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
61,Washed,drip (alternative brewing methods),light,beans,Kolumbia,44.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
62,Natural,drip (alternative brewing methods),light,beans,Brazylia,21.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
63,Washed,drip (alternative brewing methods),light,beans,Chiny,43.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Asia
64,Washed,drip (alternative brewing methods),light,beans,Etiopia,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
65,Natural,drip (alternative brewing methods),light,beans,Etiopia,40.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
66,Washed,drip (alternative brewing methods),light,beans,Gwatemala,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
67,Washed,drip (alternative brewing methods),light,beans,Indonezja,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Asia
68,Washed,drip (alternative brewing methods),light,beans,Kenia,43.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
69,Washed,drip (alternative brewing methods),light,beans,Mjanma,43.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Asia
70,Washed,drip (alternative brewing methods),light,beans,Gwatemala,28.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
71,Washed,drip (alternative brewing methods),light,beans,Kolumbia,32.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
