,process,brewing_method,roast,grind,origin,price_per_kg,percentage_of_arabica,pure_arabica,roast_brew,Washed,Natural,Fermented_traditional,Fermented_closedtank,process_general,region_of_origin
211,Honey,drip (alternative brewing methods),light,beans,Nikaragua,52.8,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
213,Washed,drip (alternative brewing methods),light,beans,Kenia,60.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
214,Natural,drip (alternative brewing methods),light,beans,Nikaragua,60.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
216,Natural,drip (alternative brewing methods),light,beans,Etiopia,87.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
218,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,Brazylia,46.4,100,True,light_drip (alternative brewing methods),False,False,False,False,Fermented,Latam
219,Natural,drip (alternative brewing methods),light,beans,Brazylia,37.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
220,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
221,Monsooning,drip (alternative brewing methods),medium,beans,Indie,36.8,100,True,medium_drip (alternative brewing methods),False,False,False,False,Monsooning,Asia
222,Washed,drip (alternative brewing methods),light,beans,Peru,43.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
223,Washed,drip (alternative brewing methods),light,beans,Rwanda,42.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
224,Monsooning,drip (alternative brewing methods),light,beans,Brazylia,57.5,100,True,light_drip (alternative brewing methods),False,False,False,False,Monsooning,Latam
225,Washed,drip (alternative brewing methods),light,beans,Kenia,60.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
226,Washed,drip (alternative brewing methods),light,beans,Honduras,52.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
227,Washed,drip (alternative brewing methods),light,beans,Kenia,55.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
228,Washed,drip (alternative brewing methods),light,beans,Kenia,63.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
229,Washed,drip (alternative brewing methods),light,beans,Peru,40.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
230,Washed,drip (alternative brewing methods),light,beans,Kenia,50.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
231,Natural,drip (alternative brewing methods),light,beans,Kolumbia,50.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
232,Washed,drip (alternative brewing methods),light,beans,"Rwanda, inne",27.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Mixed
233,Washed,drip (alternative brewing methods),light,beans,Kenia,46.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
234,Washed,drip (alternative brewing methods),light,beans,Rwanda,43.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
235,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.72,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
236,Washed,drip (alternative brewing methods),light,beans,Kolumbia,34.72,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
237,Honey,drip (alternative brewing methods),light,beans,Indie,35.84,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Asia
238,Washed,drip (alternative brewing methods),light,beans,Rwanda,31.36,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
239,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
240,Natural,drip (alternative brewing methods),light,beans,Nikaragua,43.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
241,Washed,drip (alternative brewing methods),light,beans,Rwanda,48.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
242,Washed,drip (alternative brewing methods),light,beans,Gwatemala,33.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
243,Washed,drip (alternative brewing methods),light,beans,Kolumbia,51.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
244,Natural,drip (alternative brewing methods),light,beans,Nikaragua,34.56,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
245,Semi-washed,drip (alternative brewing methods),light,ground,Honduras,57.27,100,True,light_drip (alternative brewing methods),True,False,True,False,Semi-washed,Latam
246,Natural,drip (alternative brewing methods),light,beans,Rwanda,52.8,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
247,Washed,drip (alternative brewing methods),light,beans,Rwanda,45.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
248,Anaerobic,drip (alternative brewing methods),light,beans,Brazylia,48.0,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
249,Washed,drip (alternative brewing methods),light,beans,Honduras,38.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
250,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
251,Washed,drip (alternative brewing methods),light,beans,Kenia,41.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
252,Washed,drip (alternative brewing methods),light,beans,Kenia,45.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
253,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
254,Washed,drip (alternative brewing methods),light,beans,Peru,35.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
255,Natural,drip (alternative brewing methods),light,beans,Kolumbia,33.28,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
256,Washed,drip (alternative brewing methods),light,beans,"Papua Nowa Gwinea, Rwanda",28.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
257,Natural,drip (alternative brewing methods),light,beans,Kolumbia,45.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
258,Washed,drip (alternative brewing methods),light,beans,Kolumbia,42.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
259,Honey,drip (alternative brewing methods),light,beans,Salwador,45.0,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
260,Washed,drip (alternative brewing methods),light,beans,Rwanda,43.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
261,Natural,drip (alternative brewing methods),light,beans,Indonezja,31.5,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Asia
262,Natural,drip (alternative brewing methods),light,beans,Brazylia,39.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
263,Natural,drip (alternative brewing methods),light,beans,Chiny,47.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Asia
264,Washed,drip (alternative brewing methods),light,beans,Etiopia,49.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
265,Honey,drip (alternative brewing methods),light,beans,Burundi,39.2,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Africa
266,Washed,drip (alternative brewing methods),light,beans,Etiopia,40.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
267,Washed,drip (alternative brewing methods),light,beans,Kenia,41.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
268,Anaerobic,drip (alternative brewing methods),light,beans,Rwanda,40.8,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Africa
269,Natural,drip (alternative brewing methods),light,beans,Etiopia,40.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
270,Washed,drip (alternative brewing methods),light,beans,Indie,27.2,0,False,light_drip (alternative brewing methods),True,False,False,False,Washed,Asia
271,Washed,drip (alternative brewing methods),light,beans,Kostaryka,27.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
272,Natural,drip (alternative brewing methods),light,beans,Meksyk,27.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
273,Washed,drip (alternative brewing methods),light,beans,Nikaragua,36.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
274,Natural,drip (alternative brewing methods),light,beans,Brazylia,28.8,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
275,Washed,drip (alternative brewing methods),light,beans,Etiopia,28.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
276,Washed,drip (alternative brewing methods),light,beans,Gwatemala,28.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
277,Natural,drip (alternative brewing methods),light,beans,Etiopia,47.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
278,Washed,drip (alternative brewing methods),light,beans,Kenia,46.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
279,Natural,drip (alternative brewing methods),light,beans,Peru,47.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
280,Washed,drip (alternative brewing methods),light,beans,Peru,45.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
281,Washed,drip (alternative brewing methods),light,beans,Rwanda,45.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
282,Natural,drip (alternative brewing methods),light,beans,Peru,35.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
283,Washed,drip (alternative brewing methods),light,beans,Peru,34.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
284,Washed,drip (alternative brewing methods),light,beans,Rwanda,34.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
285,Natural,drip (alternative brewing methods),light,beans,Salwador,32.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
286,Honey,drip (alternative brewing methods),light,beans,Salwador,31.2,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
287,Honey,drip (alternative brewing methods),light,beans,Salwador,34.4,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
288,Natural,drip (alternative brewing methods),light,beans,Etiopia,31.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
289,Washed,drip (alternative brewing methods),light,beans,Gwatemala,49.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
290,Washed,drip (alternative brewing methods),light,beans,Meksyk,25.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
291,Natural,drip (alternative brewing methods),light,beans,Mjanma,33.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Asia
292,Natural,drip (alternative brewing methods),light,beans,Kostaryka,26.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
293,Honey,drip (alternative brewing methods),light,beans,Salwador,25.8,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
294,Natural,drip (alternative brewing methods),light,beans,Gwatemala,23.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
295,Honey,drip (alternative brewing methods),light,beans,Honduras,25.2,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
296,Natural,drip (alternative brewing methods),light,beans,Rwanda,39.33,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
297,Natural,drip (alternative brewing methods),light,beans,Kolumbia,60.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
298,Natural,drip (alternative brewing methods),light,beans,Kolumbia,39.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
299,Natural,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
300,Washed,drip (alternative brewing methods),light,beans,Rwanda,33.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
301,Natural,drip (alternative brewing methods),light,beans,Etiopia,56.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
302,Washed,drip (alternative brewing methods),light,beans,Kenia,65.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
303,Natural,drip (alternative brewing methods),light,beans,Salwador,53.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
304,Natural,drip (alternative brewing methods),light,beans,Etiopia,46.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
305,Washed,drip (alternative brewing methods),light,beans,Kolumbia,37.12,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
306,Natural,drip (alternative brewing methods),light,beans,Salwador,37.52,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
307,Honey,drip (alternative brewing methods),light,beans,Brazylia,33.6,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
308,Washed,drip (alternative brewing methods),light,beans,Demokratyczna Republika Konga,37.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
309,Honey,drip (alternative brewing methods),light,beans,Etiopia,37.6,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Africa
310,Natural,drip (alternative brewing methods),light,beans,Etiopia,40.8,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
311,Semi-washed,drip (alternative brewing methods),light,beans,Kolumbia,40.0,100,True,light_drip (alternative brewing methods),True,False,True,False,Semi-washed,Latam
312,Natural,drip (alternative brewing methods),light,beans,Papua Nowa Gwinea,36.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
313,Washed,drip (alternative brewing methods),light,beans,Tanzania,36.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
314,Natural,drip (alternative brewing methods),light,beans,Honduras,26.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
315,Pulped natural,drip (alternative brewing methods),light,beans,Brazylia,31.2,100,True,light_drip (alternative brewing methods),True,True,False,False,Hybrid,Latam
316,Aerobic Fermentation in Piles,drip (alternative brewing methods),light,beans,Brazylia,44.0,100,True,light_drip (alternative brewing methods),False,False,True,False,Fermented,Latam
317,Experimental Anaerobic,drip (alternative brewing methods),light,beans,Gwatemala,52.0,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
318,Honey,drip (alternative brewing methods),light,beans,Honduras,42.4,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
319,Washed,drip (alternative brewing methods),light,beans,Peru,23.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
320,Washed,drip (alternative brewing methods),light,beans,Boliwia,37.96,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
321,Natural,drip (alternative brewing methods),light,beans,Boliwia,54.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
322,Washed,drip (alternative brewing methods),light,beans,Honduras,38.08,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
323,Natural,drip (alternative brewing methods),light,beans,Kolumbia,35.84,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
324,Washed,drip (alternative brewing methods),light,beans,Peru,33.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
325,Washed,drip (alternative brewing methods),light,beans,Kenia,48.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
326,Washed,drip (alternative brewing methods),light,beans,Kolumbia,33.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
327,Washed,drip (alternative brewing methods),light,beans,Gwatemala,34.56,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
328,Washed,drip (alternative brewing methods),light,beans,Gwatemala,48.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
329,Monsooning,drip (alternative brewing methods),light,beans,Laos,60.0,100,True,light_drip (alternative brewing methods),False,False,False,False,Monsooning,Asia
330,Honey,drip (alternative brewing methods),light,beans,Kostaryka,59.25,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
331,Washed,drip (alternative brewing methods),light,beans,Peru,27.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
332,Anaerobic natural,drip (alternative brewing methods),light,beans,Salwador,40.28,100,True,light_drip (alternative brewing methods),False,True,False,True,Fermented,Latam
333,Natural,drip (alternative brewing methods),light,beans,Meksyk,68.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
334,Natural,drip (alternative brewing methods),medium,beans,"Brazylia, Etiopia",24.8,100,True,medium_drip (alternative brewing methods),False,True,False,False,Natural,Mixed
335,Honey,drip (alternative brewing methods),light,beans,Brazylia,45.6,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
336,Anaerobic,drip (alternative brewing methods),light,beans,Burundi,51.2,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Africa
337,Washed,drip (alternative brewing methods),light,beans,Salwador,54.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
338,Washed,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
339,Natural,drip (alternative brewing methods),light,beans,Etiopia,55.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
340,Washed,drip (alternative brewing methods),light,beans,Gwatemala,38.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
341,Closed Tank Fermentation,drip (alternative brewing methods),light,beans,Indonezja,62.0,100,True,light_drip (alternative brewing methods),True,False,False,True,Fermented,Asia
344,Washed,drip (alternative brewing methods),light,beans,Kolumbia,64.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
345,Washed,drip (alternative brewing methods),light,beans,Kolumbia,80.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
346,Natural,drip (alternative brewing methods),light,beans,Salwador,60.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
347,Natural,drip (alternative brewing methods),light,beans,Panama,80.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
348,Natural,drip (alternative brewing methods),light,beans,Kostaryka,65.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
349,Rum Aged,drip (alternative brewing methods),light,beans,Kolumbia,99.0,100,True,light_drip (alternative brewing methods),False,False,False,False,Fermented,Latam
350,Washed Double Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,90.0,100,True,light_drip (alternative brewing methods),True,False,False,True,Fermented,Latam
352,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,49.6,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
353,Anaerobic,drip (alternative brewing methods),light,beans,Salwador,37.2,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
354,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
355,Washed,drip (alternative brewing methods),light,beans,Rwanda,36.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
356,Washed,drip (alternative brewing methods),light,beans,Tanzania,31.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
357,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
358,Washed,drip (alternative brewing methods),light,beans,Rwanda,40.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
359,Washed,drip (alternative brewing methods),light,beans,Gwatemala,25.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
360,Washed,drip (alternative brewing methods),light,beans,Rwanda,28.56,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
361,Washed,drip (alternative brewing methods),light,beans,Burundi,51.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
362,Washed,drip (alternative brewing methods),light,beans,Kenia,52.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
363,Natural,drip (alternative brewing methods),light,beans,Boliwia,55.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
364,Washed,drip (alternative brewing methods),light,beans,Etiopia,52.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
365,Washed,drip (alternative brewing methods),light,beans,Gwatemala,50.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
366,Washed,drip (alternative brewing methods),light,beans,Kolumbia,52.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
367,Washed,drip (alternative brewing methods),light,beans,Salwador,55.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
368,Washed,drip (alternative brewing methods),light,beans,Etiopia,60.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
369,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
370,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
371,Washed,drip (alternative brewing methods),light,beans,Kenia,36.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
372,Anaerobic,drip (alternative brewing methods),light,beans,Kolumbia,48.0,100,True,light_drip (alternative brewing methods),False,False,False,True,Fermented,Latam
373,Natural,drip (alternative brewing methods),light,beans,Etiopia,38.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
374,Washed,drip (alternative brewing methods),light,beans,Kenia,40.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
375,Natural,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
376,Washed,drip (alternative brewing methods),light,beans,Etiopia,31.5,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
377,Natural,drip (alternative brewing methods),light,beans,Brazylia,35.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
378,Natural,"drip, espresso",dark,beans,Panama,29.6,100,True,"dark_drip, espresso",False,True,False,False,Natural,Latam
379,Rum Aged,"drip, espresso",medium,beans,Demokratyczna Republika Konga,31.6,100,True,"medium_drip, espresso",False,False,False,False,Fermented,Africa
380,Natural,"drip, espresso",medium,ground,"Etiopia, Kolumbia",22.0,100,True,"medium_drip, espresso",False,True,False,False,Natural,Mixed
381,Natural,"drip, espresso",medium,beans,Etiopia,45.6,100,True,"medium_drip, espresso",False,True,False,False,Natural,Africa
382,Natural,"drip, espresso",medium,ground,"Etiopia, Kolumbia",28.8,100,True,"medium_drip, espresso",False,True,False,False,Natural,Mixed
383,Natural,"drip, espresso",medium,ground,"Etiopia, Kolumbia",19.2,100,True,"medium_drip, espresso",False,True,False,False,Natural,Mixed
384,Rum Aged,"drip, espresso",medium,beans,Demokratyczna Republika Konga,19.2,100,True,"medium_drip, espresso",False,False,False,False,Fermented,Africa
385,Rum Aged,"drip, espresso",medium,beans,Demokratyczna Republika Konga,22.0,100,True,"medium_drip, espresso",False,False,False,False,Fermented,Africa
386,Washed,"drip, espresso",medium,beans,Honduras,36.0,100,True,"medium_drip, espresso",True,False,False,False,Washed,Latam
387,Natural,"drip, espresso",light,beans,Brazylia,44.8,100,True,"light_drip, espresso",False,True,False,False,Natural,Latam
388,Natural,"drip, espresso",medium,beans,Brazylia,44.8,100,True,"medium_drip, espresso",False,True,False,False,Natural,Latam
389,Natural,"drip, espresso",medium,beans,Brazylia,38.4,100,True,"medium_drip, espresso",False,True,False,False,Natural,Latam
390,Washed,"drip, espresso",medium,beans,Kolumbia,47.2,100,True,"medium_drip, espresso",True,False,False,False,Washed,Latam
391,Washed,"drip, espresso",light,beans,Malawi,54.4,100,True,"light_drip, espresso",True,False,False,False,Washed,Africa
392,Washed,"drip, espresso",light,beans,Rwanda,48.0,100,True,"light_drip, espresso",True,False,False,False,Washed,Africa
393,Natural,"drip, espresso",medium,beans,Brazylia,49.6,100,True,"medium_drip, espresso",False,True,False,False,Natural,Latam
394,Washed,"drip, espresso",medium,beans,Gwatemala,39.2,100,True,"medium_drip, espresso",True,False,False,False,Washed,Latam
395,Natural,"drip, espresso",medium,beans,Brazylia,22.4,100,True,"medium_drip, espresso",False,True,False,False,Natural,Latam
396,Washed,"drip, espresso",medium,beans,Gwatemala,25.6,100,True,"medium_drip, espresso",True,False,False,False,Washed,Latam
397,Semi-washed,"drip, espresso",medium,beans,Indonezja,28.0,100,True,"medium_drip, espresso",True,False,True,False,Semi-washed,Asia
398,Semi-Carbonic Maceration,"drip, espresso",medium,beans,Meksyk,33.6,100,True,"medium_drip, espresso",False,False,False,False,Fermented,Latam
399,Washed,"drip, espresso",medium,beans,Kolumbia,40.8,100,True,"medium_drip, espresso",True,False,False,False,Washed,Latam
400,Natural,"drip, espresso",medium,beans,Kolumbia,45.6,100,True,"medium_drip, espresso",False,True,False,False,Natural,Latam
401,Washed,"drip, espresso",medium,beans,Etiopia,47.2,100,True,"medium_drip, espresso",True,False,False,False,Washed,Africa
402,Natural,"drip, espresso",medium,beans,Rwanda,51.2,100,True,"medium_drip, espresso",False,True,False,False,Natural,Africa
403,Semi-Carbonic Maceration,"drip, espresso",medium,beans,Gwatemala,52.8,100,True,"medium_drip, espresso",False,False,False,False,Fermented,Latam
404,Natural,"drip, espresso",medium,beans,Brazylia,52.0,100,True,"medium_drip, espresso",False,True,False,False,Natural,Latam
405,Washed,"drip, espresso",light,beans,Burundi,66.4,100,True,"light_drip, espresso",True,False,False,False,Washed,Africa
406,Washed,"drip, espresso",light,beans,Kolumbia,61.6,100,True,"light_drip, espresso",True,False,False,False,Washed,Latam
408,Semi-Washed Kombucha Experiment,"drip, espresso",medium,beans,Salwador,68.0,100,True,"medium_drip, espresso",True,False,False,True,Fermented,Latam
409,Pulped natural,"drip, espresso",medium,beans,Brazylia,37.6,100,True,"medium_drip, espresso",True,True,False,False,Hybrid,Latam
410,Washed,"drip, espresso",medium,beans,Kenia,50.4,100,True,"medium_drip, espresso",True,False,False,False,Washed,Africa
411,Natural,"drip, espresso",medium,beans,Rwanda,51.2,100,True,"medium_drip, espresso",False,True,False,False,Natural,Africa
413,Natural,"drip, espresso",dark,beans,Panama,29.96,100,True,"dark_drip, espresso",False,True,False,False,Natural,Latam
414,Rum Aged,"drip, espresso",medium,beans,Demokratyczna Republika Konga,29.6,100,True,"medium_drip, espresso",False,False,False,False,Fermented,Africa
415,Rum Aged,"drip, espresso",medium,beans,Demokratyczna Republika Konga,17.8,100,True,"medium_drip, espresso",False,False,False,False,Fermented,Africa
416,Washed,"drip, espresso",medium,beans,Honduras,47.2,100,True,"medium_drip, espresso",True,False,False,False,Washed,Latam
417,Washed,"drip, espresso",medium,beans,Honduras,28.8,100,True,"medium_drip, espresso",True,False,False,False,Washed,Latam
418,Washed,"drip, espresso",medium,beans,Etiopia,48.0,100,True,"medium_drip, espresso",True,False,False,False,Washed,Africa
419,Washed,"drip, espresso",medium,beans,Kolumbia,45.6,100,True,"medium_drip, espresso",True,False,False,False,Washed,Latam
420,Natural,"drip, espresso",medium,beans,Kostaryka,59.2,100,True,"medium_drip, espresso",False,True,False,False,Natural,Latam
421,Honey,"drip, espresso",medium,beans,Kostaryka,59.2,100,True,"medium_drip, espresso",True,True,True,False,Honey,Latam
422,Natural,"drip, espresso",light,beans,Etiopia,64.5,100,True,"light_drip, espresso",False,True,False,False,Natural,Africa
423,Semi-Washed Kombucha Experiment,"drip, espresso",medium,beans,"Etiopia, Gwatemala",35.2,100,True,"medium_drip, espresso",True,False,False,True,Fermented,Mixed
424,Honey,"drip, espresso",medium,beans,Gwatemala,43.2,100,True,"medium_drip, espresso",True,True,True,False,Honey,Latam
425,Natural,"drip, espresso",medium,beans,Brazylia,25.6,100,True,"medium_drip, espresso",False,True,False,False,Natural,Latam
