idx,process,brewing method,roast,grind,arabica_robusta,origin,price_per_kg
344,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,38
345,Closed Tank Fermentation,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,62
346,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,128
347,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,128
348,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,64
349,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,80
350,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,60
351,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Panama,80
352,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,65.6
353,Rum Aged,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,99
354,Washed Double Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,90
355,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,112
356,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,49.6
357,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,37.2
358,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,36.8
359,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,36.8
360,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Tanzania,31.2
361,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,36
362,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,40.8
363,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,25.2
364,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,28.56
365,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,51.2
366,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,52.8
367,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,55.2
368,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,52.8
369,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,50.4
370,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,52.8
371,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,55.2
372,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,60
373,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,36
374,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,36
375,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,36
376,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,48
377,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,38.4
378,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,40
379,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,36
380,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,31.5
381,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,0
382,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,35.2
383,Natural,"drip, espresso",dark,beans,100% Arabica,Panama,29.6
384,Rum Aged,"drip, espresso",medium,beans,100% Arabica,Demokratyczna Republika Konga,31.6
385,Natural,"drip, espresso",medium,ground,100% Arabica,"Etiopia, Kolumbia",22
386,Natural,"drip, espresso",medium,beans,100% Arabica,Etiopia,45.6
387,Natural,"drip, espresso",medium,ground,100% Arabica,"Etiopia, Kolumbia",28.8
388,Natural,"drip, espresso",medium,ground,100% Arabica,"Etiopia, Kolumbia",19.2
389,Rum Aged,"drip, espresso",medium,beans,100% Arabica,Demokratyczna Republika Konga,19.2
390,Rum Aged,"drip, espresso",medium,beans,100% Arabica,Demokratyczna Republika Konga,22
391,Washed,"drip, espresso",medium,beans,100% Arabica,Honduras,36
392,Natural,"drip, espresso",light,beans,100% Arabica,Brazylia,44.8
393,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,44.8
394,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,38.4
395,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,47.2
396,Washed,"drip, espresso",light,beans,100% Arabica,Malawi,54.4
397,Washed,"drip, espresso",light,beans,100% Arabica,Rwanda,48
398,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,49.6
399,Washed,"drip, espresso",medium,beans,100% Arabica,Gwatemala,39.2
400,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,22.4
401,Washed,"drip, espresso",medium,beans,100% Arabica,Gwatemala,25.6
402,Semi-washed,"drip, espresso",medium,beans,100% Arabica,Indonezja,28
403,Semi-Carbonic Maceration,"drip, espresso",medium,beans,100% Arabica,Meksyk,33.6
404,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,40.8
405,Natural,"drip, espresso",medium,beans,100% Arabica,Kolumbia,45.6
406,Washed,"drip, espresso",medium,beans,100% Arabica,Etiopia,47.2
407,Natural,"drip, espresso",medium,beans,100% Arabica,Rwanda,51.2
408,Semi-Carbonic Maceration,"drip, espresso",medium,beans,100% Arabica,Gwatemala,52.8
409,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,52
410,Washed,"drip, espresso",light,beans,100% Arabica,Burundi,66.4
411,Washed,"drip, espresso",light,beans,100% Arabica,Kolumbia,61.6
412,Natural,"drip, espresso",light,beans,100% Arabica,Brazylia,145.33
413,Semi-Washed Kombucha Experiment,"drip, espresso",medium,beans,100% Arabica,Salwador,68
414,Pulped natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,37.6
415,Washed,"drip, espresso",medium,beans,100% Arabica,Kenia,50.4
416,Natural,"drip, espresso",medium,beans,100% Arabica,Rwanda,51.2
417,Anaerobic,"drip, espresso",medium,beans,100% Arabica,Kolumbia,104.3
418,Natural,"drip, espresso",dark,beans,100% Arabica,Panama,29.96
419,Rum Aged,"drip, espresso",medium,beans,100% Arabica,Demokratyczna Republika Konga,29.6
420,Rum Aged,"drip, espresso",medium,beans,100% Arabica,Demokratyczna Republika Konga,17.8
421,Washed,"drip, espresso",medium,beans,100% Arabica,Honduras,47.2
422,Washed,"drip, espresso",medium,beans,100% Arabica,Honduras,28.8
423,Washed,"drip, espresso",medium,beans,100% Arabica,Etiopia,48
424,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,45.6
425,Natural,"drip, espresso",medium,beans,100% Arabica,Kostaryka,59.2
426,Honey,"drip, espresso",medium,beans,100% Arabica,Kostaryka,59.2
427,Natural,"drip, espresso",light,beans,100% Arabica,Etiopia,64.5
428,Semi-Washed Kombucha Experiment,"drip, espresso",medium,beans,100% Arabica,"Etiopia, Gwatemala",35.2
429,Honey,"drip, espresso",medium,beans,100% Arabica,Gwatemala,43.2
430,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,25.6
431,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,21.6
432,Washed,"drip, espresso",medium,beans,100% Arabica,Gwatemala,19.2
433,Washed,"drip, espresso",light,beans,100% Arabica,Kenia,48
434,Anaerobic natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,41.6
435,Washed,"drip, espresso",medium,beans,100% Arabica,Kolumbia,49.6
436,Natural,"drip, espresso",medium,beans,100% Arabica,Kolumbia,46.4
437,Washed,"drip, espresso",medium,beans,100% Arabica,Nikaragua,42.12
438,Washed,"drip, espresso",medium,beans,100% Arabica,Burundi,53.6
439,Natural,"drip, espresso",medium,beans,100% Arabica,Brazylia,39.2
440,Honey,"drip, espresso",medium,beans,100% Arabica,Gwatemala,49.6
441,Natural,"drip, espresso",medium,beans,100% Arabica,Gwatemala,58.4
442,Washed,"drip, espresso",medium,beans,100% Arabica,Kenia,56
443,Washed,"drip, espresso",medium,beans,100% Arabica,Rwanda,49.6
444,Honey,"drip, espresso",medium,beans,100% Arabica,Indonezja,45.6
445,Washed,"drip, espresso",medium,beans,100% Arabica,Etiopia,65.6
446,Natural,"drip, espresso",medium,beans,100% Arabica,Etiopia,78.4
447,Anaerobic,"drip, espresso",medium,beans,100% Arabica,Kolumbia,149
448,Washed and natural,"drip, espresso",medium,beans,100% Arabica,Kolumbia,64
449,Honey,"drip, espresso",medium,beans,100% Arabica,Salwador,46.4
450,Natural,"drip, espresso",medium,beans,100% Arabica,Salwador,59
451,Washed,"drip, espresso",medium,beans,100% Arabica,Etiopia,36.8
452,Honey,"drip, espresso",medium,beans,100% Arabica,Salwador,34.8
453,Fermentacja kontrolowana,"drip, espresso",medium,beans,100% Arabica,Brazylia,40
454,Natural,"drip, espresso",medium,beans,100% Arabica,Rwanda,33.6
455,Natural,espresso,medium,beans,100% Arabica,Uganda,27.8
456,Natural,espresso,medium,beans,100% Arabica,Uganda,34.4
457,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",31.6
458,Rum Aged,espresso,medium,beans,85/15,Italy,19.8
459,Rum Aged,espresso,medium,beans,85/15,Italy,25.6
460,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",26
461,Natural,espresso,medium,beans,50/50,Kenia,15.8
462,Semi-Washed Kombucha Experiment,espresso,medium,beans,75/25,Italy,19.8
463,Semi-Washed Kombucha Experiment,espresso,medium,beans,75/25,Italy,25.52
464,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",25
465,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",28.8
466,Washed,espresso,medium,beans,100% Arabica,Peru,30
467,Semi-Carbonic Maceration,espresso,medium,ground,100% Arabica,"Brazylia, Kolumbia",28
468,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",21.8
469,Washed,espresso,medium,beans,100% Arabica,Italy,23.2
470,Natural,espresso,medium,beans,100% Arabica,Brazylia,24
471,Washed,espresso,medium,beans,100% Arabica,Demokratyczna Republika Konga,24
472,Washed,espresso,medium,beans,100% Arabica,Demokratyczna Republika Konga,24.8
473,Washed,espresso,medium,beans,100% Arabica,Peru,31.6
474,Washed,espresso,medium,beans,100% Arabica,Peru,40
475,Natural,espresso,medium,beans,100% Arabica,Brazylia,20.8
476,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",18.4
477,Pulped natural,espresso,medium,beans,50/50,"Etiopia, Brazylia",19.68
478,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",23.12
479,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",23.92
480,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",17.8
481,Natural,espresso,medium,beans,60/40,Kenia,27.6
482,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Burundi, Peru",32
483,Natural,espresso,dark,beans,80/20,"Etiopia, Brazylia",12.98
484,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",15.98
485,Natural,espresso,medium,beans,100% Arabica,Brazylia,21.8
486,Natural,espresso,medium,beans,100% Arabica,Brazylia,22.4
487,Natural,espresso,medium,beans,100% Arabica,Brazylia,25.8
488,Natural,espresso,medium,beans,100% Arabica,Brazylia,28
489,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",29.6
490,Semi-washed,espresso,dark,beans,100% Arabica,Italy,19.98
491,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",17.98
492,Washed,espresso,medium,beans,100% Arabica,"Salwador, Nikaragua",37.6
493,Natural,espresso,dark,beans,60/40,Panama,18.4
494,Natural,espresso,medium,beans,100% Arabica,Brazylia,25.6
495,Washed,espresso,medium,beans,100% Arabica,Gwatemala,26
496,Washed,espresso,medium,beans,100% Arabica,Gwatemala,28
497,Washed,espresso,medium,beans,100% Arabica,Gwatemala,20.8
498,Semi-Washed Kombucha Experiment,espresso,dark,ground,100% Arabica,Brazylia,15.96
499,Rum Aged,espresso,dark,ground,80/20,"Brazylia, Indie",28
500,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",23.8
501,Rum Aged,espresso,dark,beans,75/25,"Peru, Gwatemala",13.8
502,Rum Aged,espresso,dark,beans,75/25,"Peru, Gwatemala",11.8
503,Rum Aged,espresso,dark,beans,75/25,"Peru, Gwatemala",14
504,Natural,espresso,dark,beans,90/10,Panama,22
505,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",15.2
506,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",25
507,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",22.8
508,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",23.6
509,Washed,espresso,medium,beans,100% Arabica,"Etiopia, Kolumbia",17.8
510,Washed,espresso,medium,beans,100% Arabica,"Etiopia, Kolumbia",20
511,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,21.8
512,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,25.6
513,Washed,espresso,medium,beans,100% Arabica,Kolumbia,19
514,Washed,espresso,medium,beans,100% Arabica,Kolumbia,21.6
515,Natural,espresso,medium,beans,100% Arabica,Etiopia,17.8
516,Natural,espresso,medium,beans,100% Arabica,Etiopia,20
517,Washed,espresso,medium,beans,100% Arabica,Etiopia,24
518,Washed,espresso,medium,beans,100% Arabica,Etiopia,28
519,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",24
520,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",28
521,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia, Kolumbia",19
522,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",21.6
523,Natural,espresso,dark,beans,100% Arabica,"Etiopia, Brazylia, Kolumbia",19
524,Natural,espresso,dark,beans,100% Arabica,"Etiopia, Brazylia, Kolumbia",21.6
525,Natural,espresso,medium,beans,100% Arabica,"Etiopia, Brazylia",17.28
526,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",31.8
527,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,"Brazylia, Etiopia",29.8
528,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,"Brazylia, Etiopia",31.2
529,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,25
530,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,31.2
531,Natural,espresso,medium,ground,100% Arabica,Brazylia,31.2
532,Natural,espresso,medium,beans,100% Arabica,Brazylia,19.8
533,Natural,espresso,medium,beans,100% Arabica,Brazylia,22.4
534,Semi-Washed Kombucha Experiment,espresso,dark,beans,80/20,"Brazylia, Indie",17.6
535,Semi-Washed Kombucha Experiment,espresso,dark,beans,80/20,"Brazylia, Indie",19.2
536,Semi-Washed Kombucha Experiment,espresso,dark,beans,80/20,"Brazylia, Indie",18.4
537,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala, Etiopia",23.8
538,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala, Etiopia",25.6
539,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala, Etiopia",24.8
540,Natural,espresso,medium,beans,100% Arabica,Brazylia,19
541,Natural,espresso,medium,beans,100% Arabica,Brazylia,20.4
542,Natural,espresso,medium,beans,100% Arabica,Brazylia,25.8
543,Natural,espresso,medium,beans,100% Arabica,Brazylia,28.8
544,Washed,espresso,medium,beans,100% Arabica,Gwatemala,25.2
545,Washed and natural,espresso,medium,beans,100% Arabica,Etiopia,31
546,Washed and natural,espresso,medium,beans,100% Arabica,Etiopia,33.6
547,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala",23.6
548,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala",25.6
549,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala",24
550,Washed,espresso,medium,beans,100% Arabica,Gwatemala,45.24
551,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,Brazylia,23.2
552,Washed,espresso,dark,beans,100% Arabica,Kolumbia,28
553,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,Etiopia,23.92
554,Washed,espresso,dark,beans,100% Arabica,Gwatemala,23.92
555,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",23.12
556,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",23.12
557,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",23.92
558,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",23.92
559,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",23.92
560,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",23.12
561,Natural,espresso,dark,beans,92/8,Panama,22.32
562,Natural,espresso,dark,beans,92/8,Panama,17.8
563,Natural,espresso,dark,beans,90/10,Panama,19.18
564,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",15.92
565,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",14.32
566,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",12.98
567,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",14.32
568,Pulped natural,espresso,dark,ground,50/50,Indonezja,11.92
569,Natural,espresso,dark,beans,50/50,Panama,10.98
570,Natural,espresso,dark,beans,50/50,Panama,11.92
571,Rum Aged,espresso,dark,ground,80/20,"Brazylia, Indie",12.72
572,Natural,espresso,dark,beans,80/20,"Etiopia, Brazylia",12.98
573,Natural,espresso,dark,beans,80/20,"Etiopia, Brazylia",13.52
574,Natural,espresso,dark,beans,50/50,Panama,7.8
575,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",13.98
576,Natural,espresso,dark,beans,70/30,"Honduras, Kolumbia, Peru",13.98
577,Natural,espresso,dark,beans,90/10,Panama,15.4
578,Natural,espresso,medium,beans,100% Arabica,Etiopia,31.8
579,Natural,espresso,medium,beans,100% Arabica,Etiopia,39.2
580,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",13.8
581,Pulped natural,espresso,medium,beans,50/50,"Etiopia, Brazylia",12.38
582,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",12.38
583,Pulped natural,espresso,medium,beans,50/50,"Etiopia, Brazylia",12.38
584,Pulped natural,espresso,medium,beans,50/50,"Etiopia, Brazylia",12.38
585,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",12.98
586,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",12.76
587,Natural,espresso,dark,beans,50/50,Panama,9.58
588,Natural,espresso,dark,beans,40/60,Panama,10.4
589,Washed,espresso,dark,ground,30/70,"Brazylia, Peru, Wietnam",11.12
590,Natural,espresso,dark,beans,60/40,Panama,10.98
591,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",10.98
592,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",15.92
593,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",15.92
594,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",13.58
595,Pulped natural,espresso,dark,ground,40/60,"Kenia, Indie",11.92
596,Natural,espresso,dark,beans,40/60,Panama,11.92
597,Natural,espresso,dark,beans,40/60,Panama,11.96
598,Natural,espresso,dark,beans,40/60,Panama,9.98
599,Natural,espresso,dark,beans,90/10,Panama,12.98
600,Semi-Washed Kombucha Experiment,espresso,dark,beans,78/22,"Brazylia, Indie",19.98
601,Natural,espresso,dark,beans,85/15,Panama,18.4
602,Natural,espresso,dark,beans,85/15,Panama,23.92
603,Washed,espresso,dark,beans,100% Arabica,Peru,23.92
604,Natural,espresso,dark,beans,100% Arabica,Salwador,35.8
605,Natural,espresso,dark,beans,100% Arabica,Salwador,41.6
606,Washed,espresso,dark,beans,100% Arabica,Etiopia,28.72
607,Washed,espresso,dark,ground,100% Arabica,Etiopia,28.72
608,Washed,espresso,dark,beans,100% Arabica,Etiopia,26.36
609,Washed,espresso,dark,beans,100% Arabica,"Etiopia, Gwatemala",23.98
610,Washed,espresso,dark,beans,100% Arabica,"Etiopia, Gwatemala",26.36
611,Washed,espresso,dark,beans,75/25,"Salwador, Indie",19.98
612,Semi-Carbonic Maceration,espresso,dark,beans,100% Arabica,Brazylia,20.2
613,Natural,espresso,dark,beans,100% Arabica,Salwador,37.36
614,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",23.92
615,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",23.92
616,Rum Aged,espresso,dark,ground,80/20,"Brazylia, Indie",23.92
617,Natural,espresso,dark,beans,80/20,"Etiopia, Brazylia",23.92
618,Natural,espresso,dark,beans,60/40,Panama,13.98
619,Natural,espresso,dark,beans,90/10,Panama,21.8
620,Natural,espresso,dark,beans,60/40,Panama,11
621,Natural,espresso,dark,beans,55/45,Panama,16.4
622,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",24.8
623,Natural,espresso,dark,beans,60/40,Panama,19.8
624,Natural,espresso,medium,beans,70/30,Kenia,13.98
625,Natural,espresso,medium,beans,80/20,Kenia,11.58
626,Natural,espresso,medium,beans,80/20,Kenia,12.8
627,Rum Aged,espresso,medium,ground,70/30,Indonezja,15.12
628,Pulped natural,espresso,medium,ground,60/40,"Etiopia, Kolumbia",11.36
629,Semi-Carbonic Maceration,espresso,medium,ground,100% Arabica,"Brazylia, Kolumbia",23.92
630,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",19.92
631,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Peru",27.2
632,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",39.2
633,Natural,espresso,medium,beans,100% Arabica,Rwanda,22.9
634,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",135.2
635,Natural,espresso,dark,beans,40/60,Panama,59.88
636,Natural,espresso,dark,beans,60/40,Panama,71.88
637,Natural,espresso,dark,beans,40/60,Panama,59.88
638,Natural,espresso,dark,beans,90/10,Panama,87.6
639,Natural,espresso,medium,beans,100% Arabica,"Brazylia, Kostaryka, Nikaragua",27
640,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",26
641,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",23.8
642,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",22.8
643,Washed,espresso,medium,beans,100% Arabica,"Kenia, Indie",29.8
644,Natural,espresso,medium,beans,100% Arabica,Brazylia,22.4
645,Natural,espresso,medium,beans,100% Arabica,Brazylia,19.8
646,Washed,espresso,dark,ground,30/70,"Brazylia, Peru, Wietnam",16.8
647,Natural,espresso,dark,beans,50/50,Panama,18
648,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",15.2
649,Semi-Carbonic Maceration,espresso,medium,ground,100% Arabica,"Brazylia, Kolumbia",13.6
650,Washed,espresso,dark,ground,30/70,"Brazylia, Peru, Wietnam",13.6
651,Pulped natural,espresso,dark,ground,50/50,Indonezja,16.8
652,Natural,espresso,dark,beans,50/50,Panama,18
653,Natural,espresso,dark,beans,30/70,Panama,13.18
654,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",17.98
655,Natural,espresso,dark,beans,60/40,Panama,15.98
656,Rum Aged,espresso,dark,beans,75/25,"Peru, Gwatemala",17.18
657,Natural,espresso,dark,beans,10/90,Panama,11.98
658,Natural,espresso,medium,beans,100% Arabica,Brazylia,32
659,Pulped natural,espresso,medium,beans,100% Arabica,"Brazylia, Indie",27.2
660,Washed,espresso,medium,beans,100% Arabica,Chiny,28
661,Washed,espresso,medium,beans,100% Arabica,Kolumbia,25.6
662,Natural,espresso,medium,beans,100% Arabica,Brazylia,20.4
663,Natural,espresso,medium,beans,100% Arabica,Brazylia,18.4
664,Natural,espresso,medium,beans,100% Arabica,Brazylia,21.6
665,Natural,espresso,medium,beans,100% Arabica,Brazylia,21.8
666,Natural,espresso,medium,beans,100% Arabica,Brazylia,20
667,Natural,espresso,medium,beans,100% Arabica,Brazylia,18.6
668,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,21.6
669,Pulped natural,espresso,medium,beans,100% Arabica,Brazylia,20.4
670,Honey,espresso,medium,beans,100% Arabica,Kostaryka,36
671,Rum Aged,espresso,dark,beans,75/25,"Peru, Gwatemala",25
672,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Gwatemala",25.6
673,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Honduras",21.8
674,Washed,espresso,medium,beans,100% Arabica,"Brazylia, Honduras",24
675,Washed,espresso,dark,beans,100% Arabica,Gwatemala,27.2
676,Natural,espresso,medium,beans,100% Arabica,Uganda,28
677,Semi-Washed Kombucha Experiment,espresso,medium,beans,100% Arabica,"Brazylia, Uganda",22
678,Natural,espresso,medium,beans,100% Arabica,"Brazylia, Uganda",24
679,Natural,espresso,medium,beans,100% Arabica,Brazylia,26
680,Natural,espresso,medium,beans,100% Arabica,Brazylia,26.4
681,Washed and natural,espresso,medium,beans,100% Arabica,"Brazylia, Tanzania",32
682,Washed,espresso,medium,beans,100% Arabica,"Peru, Gwatemala",20.8
683,Washed,espresso,medium,beans,100% Arabica,"Peru, Gwatemala",28.8
684,Washed,espresso,medium,beans,100% Arabica,Gwatemala,25.2
685,Washed,espresso,medium,beans,100% Arabica,Gwatemala,28.8
686,Natural,espresso,medium,beans,100% Arabica,Brazylia,20.8
687,Natural,espresso,dark,beans,100% Arabica,Brazylia,19
688,Natural,espresso,dark,beans,100% Arabica,Brazylia,20.8
689,Washed,espresso,medium,beans,100% Arabica,Gwatemala,24
690,Washed,espresso,medium,beans,100% Arabica,Gwatemala,26.4
691,Washed,espresso,medium,ground,100% Arabica,Gwatemala,26.4
692,Semi-washed,espresso,dark,beans,100% Arabica,"Brazylia, Gwatemala",20
693,Semi-washed,espresso,dark,beans,100% Arabica,"Brazylia, Gwatemala",22.4
694,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",19.78
695,Natural,espresso,dark,beans,92/8,Panama,11.8
696,Natural,espresso,dark,beans,80/20,"Etiopia, Brazylia",9.98
697,Washed,espresso,medium,beans,100% Arabica,Gwatemala,40
698,Natural,espresso,medium,beans,100% Arabica,Burundi,33.6
699,Natural,espresso,dark,beans,65/35,Panama,15.98
700,Natural,espresso,dark,beans,35/65,Panama,12.9
701,Natural,espresso,medium,beans,100% Arabica,Brazylia,23.8
702,Natural,espresso,medium,beans,100% Arabica,Brazylia,24
703,Natural,espresso,medium,beans,100% Arabica,Brazylia,27.2
704,Washed,espresso,medium,beans,100% Arabica,Brazylia,23.8
705,Washed,espresso,medium,beans,100% Arabica,Brazylia,27.2
706,Washed,espresso,medium,beans,100% Arabica,Peru,39.2
707,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",14.32
708,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",13.56
709,Washed,espresso,dark,ground,100% Arabica,"Brazylia, Peru, Wietnam",12.72
710,Semi-Washed Kombucha Experiment,espresso,dark,beans,100% Arabica,"Brazylia, Tanzania",16
