idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew
62,Washed,drip (alternative brewing methods),light,beans,Etiopia,42.4,100,True,light_drip (alternative brewing methods)
63,Natural,drip (alternative brewing methods),light,beans,Kolumbia,44.0,100,True,light_drip (alternative brewing methods)
64,Washed,drip (alternative brewing methods),light,beans,Kolumbia,44.0,100,True,light_drip (alternative brewing methods)
65,Natural,drip (alternative brewing methods),light,beans,Brazylia,21.6,100,True,light_drip (alternative brewing methods)
66,Washed,drip (alternative brewing methods),light,beans,Chiny,43.2,100,True,light_drip (alternative brewing methods)
67,Washed,drip (alternative brewing methods),light,beans,Etiopia,40.0,100,True,light_drip (alternative brewing methods)
68,Natural,drip (alternative brewing methods),light,beans,Etiopia,40.0,100,True,light_drip (alternative brewing methods)
69,Washed,drip (alternative brewing methods),light,beans,Gwatemala,40.0,100,True,light_drip (alternative brewing methods)
70,Washed,drip (alternative brewing methods),light,beans,Indonezja,40.0,100,True,light_drip (alternative brewing methods)
71,Washed,drip (alternative brewing methods),light,beans,Kenia,43.2,100,True,light_drip (alternative brewing methods)
72,Washed,drip (alternative brewing methods),light,beans,Mjanma,43.2,100,True,light_drip (alternative brewing methods)
73,Washed,drip (alternative brewing methods),light,beans,Gwatemala,28.0,100,True,light_drip (alternative brewing methods)
74,Washed,drip (alternative brewing methods),light,beans,Kolumbia,32.0,100,True,light_drip (alternative brewing methods)
75,Red Honey,drip (alternative brewing methods),light,beans,Kostaryka,44.0,100,True,light_drip (alternative brewing methods)
76,Washed,drip (alternative brewing methods),light,beans,Rwanda,40.8,100,True,light_drip (alternative brewing methods)
77,Natural,drip (alternative brewing methods),light,beans,Rwanda,56.0,100,True,light_drip (alternative brewing methods)
78,Honey,drip (alternative brewing methods),light,beans,Brazylia,24.0,100,True,light_drip (alternative brewing methods)
79,Pulped natural,drip (alternative brewing methods),light,beans,Brazylia,24.0,100,True,light_drip (alternative brewing methods)
80,Washed,drip (alternative brewing methods),light,beans,Burundi,33.6,100,True,light_drip (alternative brewing methods)
81,Natural,drip (alternative brewing methods),light,beans,Kostaryka,35.2,100,True,light_drip (alternative brewing methods)
82,Washed,drip (alternative brewing methods),light,beans,Gwatemala,24.0,100,True,light_drip (alternative brewing methods)
83,Natural,drip (alternative brewing methods),light,beans,Gwatemala,57.6,100,True,light_drip (alternative brewing methods)
84,Natural,drip (alternative brewing methods),light,beans,Gwatemala,31.2,100,True,light_drip (alternative brewing methods)
85,Honey,drip (alternative brewing methods),light,beans,Honduras,33.6,100,True,light_drip (alternative brewing methods)
86,Washed,drip (alternative brewing methods),light,beans,Indonezja,34.4,100,True,light_drip (alternative brewing methods)
87,Washed,drip (alternative brewing methods),light,beans,Peru,32.0,100,True,light_drip (alternative brewing methods)
88,Washed,drip (alternative brewing methods),light,beans,Etiopia,43.33,100,True,light_drip (alternative brewing methods)
89,Washed,drip (alternative brewing methods),light,beans,Peru,34.67,100,True,light_drip (alternative brewing methods)
90,Macerated Natural,drip (alternative brewing methods),light,beans,Peru,46.67,100,True,light_drip (alternative brewing methods)
91,Natural,drip (alternative brewing methods),light,beans,Peru,44.67,100,True,light_drip (alternative brewing methods)
92,Washed,drip (alternative brewing methods),light,beans,Rwanda,39.33,100,True,light_drip (alternative brewing methods)
93,Natural,drip (alternative brewing methods),light,beans,Brazylia,27.2,100,True,light_drip (alternative brewing methods)
94,Washed,drip (alternative brewing methods),light,beans,Etiopia,40.8,100,True,light_drip (alternative brewing methods)
95,Washed,drip (alternative brewing methods),light,beans,Gwatemala,42.4,100,True,light_drip (alternative brewing methods)
96,Washed,drip (alternative brewing methods),light,beans,Kenia,53.6,100,True,light_drip (alternative brewing methods)
97,Washed,drip (alternative brewing methods),light,beans,Kolumbia,40.0,100,True,light_drip (alternative brewing methods)
98,Natural,drip (alternative brewing methods),light,beans,Rwanda,44.0,100,True,light_drip (alternative brewing methods)
99,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.0,100,True,light_drip (alternative brewing methods)
100,Yellow Bourbon,drip (alternative brewing methods),light,beans,Brazylia,46.4,100,True,light_drip (alternative brewing methods)
101,Natural,drip (alternative brewing methods),light,beans,Salwador,56.0,100,True,light_drip (alternative brewing methods)
102,Red Honey,drip (alternative brewing methods),light,beans,Brazil and others,31.8,100,True,light_drip (alternative brewing methods)
103,Washed,drip (alternative brewing methods),light,beans,Kenia,51.2,100,True,light_drip (alternative brewing methods)
104,Natural,drip (alternative brewing methods),light,beans,Brazylia,39.2,100,True,light_drip (alternative brewing methods)
105,Washed,drip (alternative brewing methods),light,beans,Kolumbia,46.4,100,True,light_drip (alternative brewing methods)
106,Washed,drip (alternative brewing methods),light,beans,Brazylia,38.4,100,True,light_drip (alternative brewing methods)
107,Natural,drip (alternative brewing methods),light,beans,Rwanda,40.0,100,True,light_drip (alternative brewing methods)
108,Natural,drip (alternative brewing methods),light,beans,Rwanda,40.0,100,True,light_drip (alternative brewing methods)
109,Fermentation,drip (alternative brewing methods),light,beans,Brazylia,44.0,100,True,light_drip (alternative brewing methods)
110,Yeast Process,drip (alternative brewing methods),light,beans,Salwador,47.2,100,True,light_drip (alternative brewing methods)
111,Washed,drip (alternative brewing methods),light,beans,Etiopia,48.0,100,True,light_drip (alternative brewing methods)
112,Natural,drip (alternative brewing methods),light,beans,Etiopia,51.2,100,True,light_drip (alternative brewing methods)
113,Yellow Honey,drip (alternative brewing methods),light,beans,Etiopia,51.2,100,True,light_drip (alternative brewing methods)
114,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,51.2,100,True,light_drip (alternative brewing methods)
115,Washed,drip (alternative brewing methods),light,beans,Honduras,54.4,100,True,light_drip (alternative brewing methods)
116,Carbonic Maceration,drip (alternative brewing methods),light,beans,Kolumbia,54.4,100,True,light_drip (alternative brewing methods)
117,Yellow Honey,drip (alternative brewing methods),light,beans,Kostaryka,54.4,100,True,light_drip (alternative brewing methods)
118,Honey,drip (alternative brewing methods),light,beans,Kostaryka,56.0,100,True,light_drip (alternative brewing methods)
119,Natural,drip (alternative brewing methods),light,beans,Meksyk,48.0,100,True,light_drip (alternative brewing methods)
120,Washed,drip (alternative brewing methods),light,beans,Peru,48.0,100,True,light_drip (alternative brewing methods)
121,Red Honey,drip (alternative brewing methods),light,beans,Peru,40.0,100,True,light_drip (alternative brewing methods)
122,Red Honey,drip (alternative brewing methods),light,beans,Brazil and others,21.0,100,True,light_drip (alternative brewing methods)
123,Red Honey,drip (alternative brewing methods),light,beans,Brazil and others,23.2,100,True,light_drip (alternative brewing methods)
124,Washed,drip (alternative brewing methods),light,beans,Etiopia,29.0,100,True,light_drip (alternative brewing methods)
125,Washed,drip (alternative brewing methods),light,beans,Etiopia,32.0,100,True,light_drip (alternative brewing methods)
126,Washed,drip (alternative brewing methods),light,beans,Etiopia,30.8,100,True,light_drip (alternative brewing methods)
127,Pulped natural,drip (alternative brewing methods),light,beans,Rwanda,30.0,100,True,light_drip (alternative brewing methods)
128,Pulped natural,drip (alternative brewing methods),light,beans,Rwanda,32.8,100,True,light_drip (alternative brewing methods)
129,Pulped natural,drip (alternative brewing methods),light,beans,Rwanda,31.6,100,True,light_drip (alternative brewing methods)
